date,USDbuy,USDsell,JPYbuy,JPYsell,EURbuy,EURsell
04/30,32.145,32.815,0.1983,0.2111,34.03,35.37
05/01,32.14,32.81,0.197,0.2098,33.89,35.23
05/02,32.14,32.81,0.1998,0.2126,34.05,35.39
05/03,31.995,32.665,0.2023,0.2151,33.96,35.3
05/05,31.975,32.645,0.2025,0.2153,34.03,35.37
05/06,31.89,32.56,0.2012,0.214,33.95,35.29
05/07,31.96,32.63,0.2003,0.2131,34.02,35.36
05/08,32.065,32.735,0.2002,0.213,34.06,35.4
05/09,32.01,32.68,0.1993,0.2121,34.03,35.37
05/10,32.06,32.73,0.1992,0.212,34.17,35.51
05/13,32.04,32.71,0.199,0.2118,34.13,35.47
05/14,32.035,32.705,0.198,0.2108,34.17,35.51
05/15,31.89,32.56,0.1971,0.2099,34.14,35.48
05/16,31.69,32.36,0.1992,0.212,34.12,35.46
05/18,31.81,32.48,0.1978,0.2106,34.22,35.56
05/20,31.835,32.505,0.1975,0.2103,34.23,35.57
05/21,31.905,32.575,0.1972,0.21,34.26,35.6
05/22,31.875,32.545,0.1971,0.2099,34.22,35.56
05/27,31.78,32.45,0.196,0.2088,34.16,35.5
05/28,31.765,32.435,0.1959,0.2087,34.18,35.52
05/30,31.995,32.665,0.1969,0.2097,34.14,35.48
05/31,32.05,32.72,0.198,0.2108,34.3,35.64
06/03,31.995,32.665,0.1971,0.2099,34.29,35.63
06/04,31.99,32.66,0.2001,0.2129,34.39,35.73
06/06,31.915,32.585,0.1985,0.2113,34.38,35.72
06/07,31.885,32.555,0.1981,0.2109,34.36,35.7
06/12,31.995,32.665,0.1969,0.2097,33.99,35.33
06/13,31.91,32.58,0.1966,0.2094,34.1,35.44
06/14,31.945,32.615,0.1958,0.2086,33.82,35.16
06/17,31.945,32.615,0.1961,0.2089,33.83,35.17
06/18,31.995,32.665,0.1957,0.2085,33.91,35.25
06/19,31.95,32.62,0.1957,0.2085,33.95,35.29
06/20,31.98,32.65,0.1956,0.2084,33.98,35.32
06/25,31.995,32.665,0.1939,0.2067,33.96,35.3
06/26,32.07,32.74,0.194,0.2068,33.97,35.31
07/01,32.145,32.815,0.193,0.2058,34.24,35.58
07/04,32.18,32.85,0.1926,0.2054,34.34,35.68
07/10,32.18,32.85,0.1925,0.2053,34.43,35.77
07/18,32.2,32.87,0.1993,0.2121,34.83,36.17
07/23,32.425,33.095,0.2006,0.2134,34.93,36.27
07/30,32.475,33.145,0.2042,0.217,34.75,36.09
08/02,32.41,33.08,0.2103,0.2231,34.59,35.93
08/06,32.315,32.985,0.215,0.2278,35.0,36.34
08/07,32.28,32.95,0.2136,0.2264,34.9,36.24
08/15,31.89,32.56,0.21,0.2228,34.73,36.07
08/19,31.635,32.305,0.2099,0.2227,34.55,35.89
08/20,31.455,32.125,0.2088,0.2216,34.5,35.84
08/21,31.535,32.205,0.2102,0.223,34.73,36.07
08/26,31.395,32.065,0.2118,0.2246,34.76,36.1
08/27,31.51,32.18,0.2113,0.2241,34.83,36.17
08/28,31.585,32.255,0.212,0.2248,34.84,36.18
08/29,31.565,32.235,0.2117,0.2245,34.76,36.1
09/03,31.66,32.33,0.2109,0.2237,34.64,35.98
09/04,31.79,32.46,0.2128,0.2256,34.77,36.11
09/09,31.64,32.31,0.215,0.2278,34.69,36.03
09/10,31.785,32.455,0.2154,0.2282,34.71,36.05
09/12,31.75,32.42,0.2163,0.2291,34.58,35.92
09/18,31.545,32.215,0.2165,0.2293,34.71,36.05
09/23,31.63,32.3,0.2139,0.2267,34.71,36.05
09/24,31.57,32.24,0.2119,0.2247,34.71,36.05
10/01,31.44,32.11,0.2116,0.2244,34.58,35.92
10/07,31.74,32.41,0.2074,0.2202,34.43,35.77
10/09,31.8,32.47,0.2076,0.2204,34.49,35.83
10/15,31.79,32.46,0.2064,0.2192,34.23,35.57
10/17,31.785,32.455,0.2061,0.2189,34.13,35.47
