EmployeeID, Restaurant, Item, Price, OrderDate
F001,Res_A,A01,80,2024/6/3
F002,Res_A,A02,90,2024/6/3
F003,Res_A,A03,100,2024/6/3
F004,Res_B,B01,80,2024/6/3
F005,Res_B,B02,90,2024/6/3
F006,Res_B,B03,100,2024/6/3
F007,Res_B,B01,80,2024/6/3
F008,Res_B,B02,90,2024/6/3
F009,Res_A,A02,90,2024/6/3
F010,Res_B,B02,90,2024/6/3
F001,Res_B,B02,90,2024/6/10
F002,Res_A,A01,80,2024/6/10
F003,Res_B,B03,100,2024/6/10
F004,Res_B,B01,80,2024/6/10
F005,Res_A,A03,100,2024/6/10
F006,Res_A,A02,90,2024/6/10
F007,Res_A,A01,80,2024/6/10
F008,Res_B,B02,90,2024/6/10
F009,Res_B,B01,80,2024/6/10
F010,Res_A,A02,90,2024/6/10
F001,Res_B,B03,100,2024/6/17
F002,Res_B,B01,80,2024/6/17
F003,Res_A,A02,90,2024/6/17
F004,Res_A,A02,90,2024/6/17
F005,Res_B,B02,90,2024/6/17
F006,Res_B,B01,80,2024/6/17
F007,Res_B,B01,80,2024/6/17
F008,Res_B,B01,80,2024/6/17
F009,Res_B,B01,80,2024/6/17
F010,Res_B,B01,80,2024/6/17
F001,Res_B,B03,100,2024/6/24
F002,Res_B,B02,90,2024/6/24
F003,Res_A,A03,100,2024/6/24
F004,Res_B,B01,80,2024/6/24
F005,Res_B,B01,80,2024/6/24
F006,Res_A,A01,80,2024/6/24
F007,Res_A,A01,80,2024/6/24
F008,Res_B,B01,80,2024/6/24
F009,Res_A,A02,90,2024/6/24
F010,Res_B,B01,80,2024/6/24
F001,Res_A,A03,100,2024/7/1
F002,Res_A,A03,100,2024/7/1
F003,Res_B,B03,90,2024/7/1
F004,Res_A,A02,90,2024/7/1
F005,Res_A,A02,90,2024/7/1
F006,Res_B,B03,100,2024/7/1
F007,Res_B,B03,100,2024/7/1
F008,Res_B,B03,100,2024/7/1
F009,Res_A,A03,100,2024/7/1
F010,Res_A,A02,90,2024/7/1
F001,Res_B,B01,80,2024/7/8
F002,Res_B,B02,90,2024/7/8
F003,Res_B,B03,100,2024/7/8
F004,Res_B,B01,80,2024/7/8
F005,Res_B,B01,80,2024/7/8
F006,Res_B,B02,90,2024/7/8
F007,Res_B,B03,100,2024/7/8
F008,Res_B,B03,100,2024/7/8
F009,Res_B,B02,90,2024/7/8
F010,Res_B,B03,100,2024/7/8
