date,USDbuy,USDsell,JPYbuy,JPYsell,EURbuy,EURsell
01/03,32.495,33.165,0.1998,0.2126,32.96,34.3
01/08,32.39,33.06,0.1982,0.211,33.13,34.47
01/13,32.72,33.39,0.2011,0.2139,33.01,34.35
01/15,32.57,33.24,0.1996,0.2124,33.14,34.48
01/21,32.29,32.96,0.2015,0.2143,33.14,34.48
01/23,32.37,33.04,0.2003,0.2131,33.27,34.61
02/13,32.445,33.115,0.2037,0.2165,33.36,34.7
02/18,32.365,33.035,0.2065,0.2193,33.48,34.82
03/10,32.52,33.19,0.2138,0.2266,34.85,36.19
03/12,32.56,33.23,0.2119,0.2247,35.05,36.39
04/09,32.655,33.325,0.218,0.2308,35.63,36.97
04/14,32.085,32.755,0.2179,0.2307,36.18,37.52
07/17,29.025,29.695,0.1888,0.2016,33.37,34.71
08/13,29.59,30.26,0.1934,0.2062,34.23,35.57
08/14,29.53,30.2,0.1948,0.2076,34.21,35.55
08/15,29.6,30.27,0.1947,0.2075,34.22,35.56
